type	latitude	longitude	altitude (m)	eos	name	desc
T	22.248928900	113.924030900	770.7			
T	22.248890500	113.923967800	773.8			
T	22.248863800	113.923935400	774.9			
T	22.248888800	113.923868600	777.5			
T	22.248903900	113.923742400	780.2			
T	22.248937200	113.923648600	781.2			
T	22.248913900	113.923574700	783.8			
T	22.248920600	113.923491700	785.2			
T	22.248875500	113.923423200	788.0			
T	22.248847100	113.923311400	790.3			
T	22.248850400	113.923183400	793.2			
T	22.248897200	113.923017400	796.0			
T	22.248865500	113.922957900	797.5			
T	22.248860500	113.922790200	799.9			
T	22.248861100	113.922770700	800.3			
T	22.248865500	113.922620700	803.5			
T	22.248873300	113.922537800	805.3			
T	22.248858000	113.922478700	806.7			
T	22.248843000	113.922413900	808.3			
T	22.248837000	113.922369300	809.3			
T	22.248835800	113.922328300	810.2			
T	22.248817800	113.922284700	811.1			
T	22.248780300	113.922209900	812.6			
T	22.248757700	113.922133300	815.1			
T	22.248756100	113.922060200	817.6			
T	22.248769400	113.921993500	820.0			
T	22.248805900	113.921872500	826.0			
T	22.248820700	113.921771200	831.8			
T	22.248836000	113.921715700	835.1			
T	22.248864300	113.921681300	837.6			
T	22.248826600	113.921657700	838.0			
T	22.248856100	113.921619400	840.0			
T	22.248844900	113.921595800	840.6			
T	22.248846600	113.921579200	841.2			
T	22.248849000	113.921563900	841.8			
T	22.248835500	113.921522400	842.9			
T	22.248841500	113.921498900	843.9			
T	22.248851900	113.921484500	844.7			
T	22.248854800	113.921466400	845.4			
T	22.248872700	113.921442700	846.7			
T	22.248872100	113.921418400	847.5			
T	22.248884200	113.921399100	848.5			
T	22.248892300	113.921371100	850.0			
